============================================================
Trend Classifier Training
============================================================

Feature Importance:
           feature  importance
   vol_compression    0.342840
            regime    0.137677
               adx    0.078675
            roc_10    0.066624
      struct_score    0.050119
           plus_di    0.046666
             roc_5    0.045763
          minus_di    0.044986
price_above_ema200    0.041860
     ema_alignment    0.039928
 price_above_ema50    0.038280
 price_above_ema20    0.035260
         mtf_score    0.031321
